facility_id,facility_name,facility_type,category,ownership,state,lga,latitude,longitude
af719462-abfd-4f47-9dc3-0987164e75ac,G R A Nursing Home,Primary,Primary Health Center,DATA_UNAVAILABLE,Borno,Maiduguri,11.822319999912168,13.148319999866885
a29b0328-d844-4358-b0ab-2e120b8fb30f,Gishili Health Center,Primary,Primary Health Center,DATA_UNAVAILABLE,Borno,Maiduguri,11.82161457866519,13.1471761075733
b685b769-5c83-4f83-a182-00e7e1b777d8,Lehobi Primary Health Care,Primary,Primary Health Center,DATA_UNAVAILABLE,Borno,Askira Uba,10.70709229,12.81628418
78e64f7a-cbb8-4357-9e64-a7e502534527,Dugja Idp Camp,Primary,Primary Health Center,DATA_UNAVAILABLE,Borno,Biu,10.61522,12.18162833
409c97ce-7490-4dc2-a8f8-2b8d53ad2b12,Kopa Maikudiri Dispensary,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Askira Uba,10.75952667,13.31335833
6afd9e7a-b985-4cd5-b0cf-f9488500a3a0,Ghumtukum Medical Center,Primary,Medical Center,DATA_UNAVAILABLE,Borno,Maiduguri,11.7980957,13.14227295
50e5c971-d348-4c81-ba29-f806eefe9920,Ghung Dispensary,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Gwoza,11.2254,13.78631
f92b67cf-d74c-4e37-8f8b-aa4e4b18f82d,Grem Demch Dispensary,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Hawul,10.586574000280848,12.05021899975884
9c2b58dd-1e99-49b9-970e-eabce1c7dd10,Gumsuri Federal Medical Center,Secondary,Federal Medical Center,DATA_UNAVAILABLE,Borno,Damboa,11.051521000190519,12.807163000066737
5a3864b5-d66b-4683-90cd-9c76af393450,Uba Bobo Health Post,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Askira Uba,10.458996999598298,13.213818000369713
9084ffc4-0fa7-48e9-abdf-6340bf8881cd,Kangarwa Health Clinic,Primary,Primary Health Center,DATA_UNAVAILABLE,Borno,Abadam,13.679030000000068,13.341960000000029
6405d2a0-d828-4509-a1fe-d09d6387d284,Anguwan Banki Health Post,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Bayo,10.543952000321212,11.621330000348962
34913a42-1c2e-469f-96e0-d340ef013e6b,Jeki Kanakuri Dispensary,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Shani,10.066969000233712,11.999712000441718
90e6a552-50f9-40d0-8077-3e214c63509e,Gwangang Chata Dispensary,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Hawul,10.434960000266301,12.103089999682197
2d477eae-d443-4648-8297-b6fa3145a321,Wajiroko Dispensary,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Damboa,10.934143000437643,12.52636300027632
cfe845eb-9f71-4b99-9603-d2f389a73ba0,Ngulde Primary Health Care,Primary,Primary Health Center,DATA_UNAVAILABLE,Borno,Askira Uba,10.63234300037874,12.545808000488307
ddc5d870-a8d4-497d-9726-af5c57027271,Meleri Primary Health Care,Primary,Primary Health Center,DATA_UNAVAILABLE,Borno,Mobbar,13.193403000498677,12.5705650003095
0ab42561-a501-421f-b3fe-c78fb18d2286,Asaga Dispensary,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Mobbar,13.301499999945463,12.70950999971609
d45dc8fc-a72c-4210-a150-d3ff0a407f04,Huwa Health Clinic,Primary,Primary Health Center,DATA_UNAVAILABLE,Borno,Mobbar,13.320589999916251,12.739279999943392
0fcbdf4a-8ea2-4df9-9167-4c9f1377f27c,Shikarkir Dispensary,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Chibok,10.802780000182679,12.77680000043648
4768f066-d80e-4f57-a428-4cf98dde1373,Bambila Health Post,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Chibok,10.831839999927581,12.796519999835311
21dad8b7-8c27-4151-8c47-cfa462ee6061,Yerwa Dispensary,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Damboa,11.27307399972534,12.869773999607958
4355d37b-ca14-41dc-ad0e-bac679fa8d92,Koljiri Dispensary,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Damboa,11.083960000231286,12.89624999959716
12c47bd1-535e-4de7-9cad-ad34f43b1965,Mifa Health Post,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Chibok,10.888689999554458,12.90376999970664
43aa1586-4583-4cbb-b520-2a5c898b5cb4,Bulublin Health Clinic,Primary,Primary Health Center,DATA_UNAVAILABLE,Borno,Konduga,11.387649999574364,12.907460000213803
53ed9dd0-2c77-4e60-8f26-c148af2a5450,Njaba Dispensary,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Damboa,11.13764999971113,12.952129999564988
80c81d6f-a4bb-43cc-bf2b-2ef1585c4ed7,Kaumutayahi Health Post,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Chibok,10.858740000204875,12.961119999673258
9606fce0-b208-4d77-a0b8-3ba6767cc7eb,Gajigana Dispensary,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Magumeri,12.24989500042932,13.104269999936946
0c165490-7f48-4e3d-88f9-35405bdc2396,Bulturam Health Center,Primary,Primary Health Center,DATA_UNAVAILABLE,Borno,Guzamala,12.903040000210638,13.229289999882212
6e2141c7-9572-4998-a41e-3bede5b98836,Mawa Lawanti Primary Health Center,Primary,Primary Health Center,DATA_UNAVAILABLE,Borno,Nganzai,12.324420000065572,13.238760000316631
34b52da9-019d-434f-8012-12e2c92277be,Tamsuwu Ngamdua Dispensary,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Mafa,11.827837999661426,13.274357999503763
98b2214a-1b02-4151-9209-c91954e9ebe1,Ngom Clinic,Primary,Primary Health Center,DATA_UNAVAILABLE,Borno,Mafa,11.88444000011981,13.34537999975987
ab900db7-239f-4422-9e36-4a11c5127851,Goni Adamt Dispensary,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Guzamala,12.685220000212212,13.355010000303025
7ac23f05-af3c-46b6-9cd5-dcc9190d4be4,Tumbun Guni Health Post,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Abadam,13.483729999762204,13.484750000455278
3e3751f5-aafc-4737-b2ac-cfe77a540435,Barwati Health Clinic,Primary,Primary Health Center,DATA_UNAVAILABLE,Borno,Kukawa,12.81206500039741,13.670873999917774
6f593fd0-536b-454b-bb3c-8f063dce824e,Mal Mastari Health Center,Primary,Primary Health Center,DATA_UNAVAILABLE,Borno,Bama,11.635610000051543,13.677859999664406
a9a23375-22e0-4759-bd9d-d2350c95ecf0,Bumou Health Clinic,Primary,Primary Health Center,DATA_UNAVAILABLE,Borno,Kukawa,12.894939999707049,13.69314000004647
47aa12b0-4cba-4018-8421-0f2435d49570,Ajiri Dispensary,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Mafa,11.97213699970581,13.707864000050733
57826d90-4dfc-41d4-b8d4-e4ecbb236bc7,Ngelaiwa Health Clinic,Primary,Primary Health Center,DATA_UNAVAILABLE,Borno,Marte,12.523410000269905,13.77078999980597
1e0df585-bb5f-4fa2-83ba-fa33c6106ac7,Hudumcha Dispensary,Primary,Dispensary,DATA_UNAVAILABLE,Borno,Gwoza,11.128959999806682,13.792200000353091
